https://etherscan.io/address/0xb199ea67d5352674bb3a432b5e669b8cae21ffc8#analytics,['from', '10', 'hrs', '17', 'mins', 'ago'],['from', '1212', 'days', '13', 'hrs', 'ago'],2978401.82,201.42895168137179,119211.3
https://etherscan.io/address/0x4356ddb30910c1f9b3aa1e6a60111ce9802b6df9#analytics,['from', '104', 'days', '4', 'hrs', 'ago'],['from', '1621', 'days', '10', 'hrs', 'ago'],2.23,18.018070503355997,22591.05
https://etherscan.io/address/0xe4fd210236d8ba17663997097b832e8e0d262cee#analytics,['from', '1', 'day', '9', 'hrs', 'ago'],['from', '1227', 'days', '11', 'hrs', 'ago'],45688.31,103.82737087980506,206734.86
https://etherscan.io/address/0x1d118eca15425f644d7aee03f5de7261a7bbb5d6#analytics,['from', '25', 'days', '3', 'hrs', 'ago'],['from', '2069', 'days', '12', 'mins', 'ago'],33164.24,32.09547848803796,29837.45
https://etherscan.io/address/0x4530b100bf6400268e22fe64d7548ffaafa8dc39#analytics,['from', '153', 'days', '12', 'hrs', 'ago'],['from', '2143', 'days', '1', 'hr', 'ago'],27797.21,235.56742835458056,103609.62
https://etherscan.io/address/0x5d4f95ceb7a6d57e742f7018ada8ac7705f7a9ea#analytics,['from', '12', 'hrs', '20', 'mins', 'ago'],['from', '1252', 'days', '22', 'hrs', 'ago'],0.48,51.18152299840386,50947.45
https://etherscan.io/address/0x356073e60e1f54f1c5ef5d377eff3355db45b921#analytics,['from', '1025', 'days', '4', 'hrs', 'ago'],['from', '1261', 'days', '2', 'hrs', 'ago'],48.43,3.0637990769406764,1343.51
https://etherscan.io/address/0x72fc1866c9cf17e216095b5b4912a79ec1a575c7#analytics,['from', '16', 'days', '9', 'hrs', 'ago'],['from', '1410', 'days', '1', 'hr', 'ago'],3615.86,29.69767817862851,72192.38
https://etherscan.io/address/0x33152b0176dd5b08b523838fe5719e78cfd5b63d#analytics,['from', '14', 'days', '23', 'hrs', 'ago'],['from', '1671', 'days', '16', 'hrs', 'ago'],568.70,21.369845376311396,51948.17
https://etherscan.io/address/0xb74d5f0a81ce99ac1857133e489bc2b4954935ff#analytics,['from', '3', 'days', '14', 'hrs', 'ago'],['from', '2007', 'days', '1', 'hr', 'ago'],762.42,399.01427259148073,1325808.71
https://etherscan.io/address/0x6984379c15a9c73b9ab0c979973a69b1be7c32b5#analytics,['from', '490', 'days', '13', 'hrs', 'ago'],['from', '1298', 'days', '12', 'hrs', 'ago'],8.47,6.938447506430202,5511.99
https://etherscan.io/address/0xa51b7312c91ed9363041f07e241c37373954e85c#analytics,['from', '254', 'days', '8', 'hrs', 'ago'],['from', '1240', 'days', '16', 'hrs', 'ago'],41.26,42.87447646689566,96193.18
https://etherscan.io/address/0x28265b4188ff587e5cfe1155606026cd2ccd243d#analytics,['from', '8', 'days', '10', 'hrs', 'ago'],['from', '1388', 'days', '3', 'hrs', 'ago'],9404.14,13.36571653213831,41041.78
https://etherscan.io/address/0x13170030a9d193e65d9544d6269661ac416ea7e3#analytics,['from', '104', 'days', '16', 'hrs', 'ago'],['from', '1295', 'days', '6', 'hrs', 'ago'],396937128.20,136.58895756193002,50337.13
https://etherscan.io/address/0xef572fbbdb552a00bdc2a3e3bc9306df9e9e169d#analytics,['from', '94', 'days', '2', 'hrs', 'ago'],['from', '1255', 'days', '15', 'hrs', 'ago'],0.26,14.82299990699582,9809.01
