address,url,numdayshrs (lastTXN),dayshrs (lastTXN),numdayshrs (firstTXN),dayshrs (firstTXN),current_eth_portfolio,dropdownMenuBalance,ethATH,usdATH
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,776,days,2107,days,5,1363.07,29.63417489646391,20568.22
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,776,days,2107,days,5,1363.07,29.63417489646391,20568.22
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,https://etherscan.io/address/0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08#analytics,776,days,2107,days,5,1363.07,29.63417489646391,20568.22
0xc9ccd0d6311f2fe7c1d8d4c28396c700f47ce452,https://etherscan.io/address/0xc9ccd0d6311f2fe7c1d8d4c28396c700f47ce452#analytics,5,days,2151,days,0,1.04,11.287148383194342,22209.38
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,https://etherscan.io/address/0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6#analytics,5,days,1954,days,0,74.15,286.2675142530325,297126.84
0xebd8786cc2d92eb5cbe96299d2d9e6e4dc936fe4,https://etherscan.io/address/0xebd8786cc2d92eb5cbe96299d2d9e6e4dc936fe4#analytics,1114,days,1214,days,0,0.00,2.3474910864500624,814.13
0xbf168a9b110379fc8e5daa42e334a97159232e37,https://etherscan.io/address/0xbf168a9b110379fc8e5daa42e334a97159232e37#analytics,96,days,1295,days,0,5245.76,32.10551382232939,105547
0xfa31a00a87c766579f0790be73c3763b3e952e94,https://etherscan.io/address/0xfa31a00a87c766579f0790be73c3763b3e952e94#analytics,1068,days,1231,days,0,1229719.93,2.0315421254991457,644.95
0x6a8eeee36ceb102acc06e850b01d168ba7acad7a,https://etherscan.io/address/0x6a8eeee36ceb102acc06e850b01d168ba7acad7a#analytics,4,days,2132,days,0,10665780.36,9.699804561037467,24126.82
0xed933b393bcd6f138b3843f5bcd50e3ab6e673f8,https://etherscan.io/address/0xed933b393bcd6f138b3843f5bcd50e3ab6e673f8#analytics,20,hrs,2164,days,21,91855.01,80.01573413446478,134306.85
0x64d33dd8cf24c3569252a27c1b782e15b77af628,https://etherscan.io/address/0x64d33dd8cf24c3569252a27c1b782e15b77af628#analytics,249,days,1250,days,0,38.95,9.943044359646375,6969.78
0xdfa1d82cad63732a6fd76f13315206c21e2e3a21,https://etherscan.io/address/0xdfa1d82cad63732a6fd76f13315206c21e2e3a21#analytics,1,day,2232,days,0,113.68,25.06899939411068,21082.53
0x5b85988f0032ee818f911ec969dd9c649caa0a14,https://etherscan.io/address/0x5b85988f0032ee818f911ec969dd9c649caa0a14#analytics,2,hrs,2341,days,3,36777.83,401.19184372717586,141957.72
0x1502a39844a21d91904c8343c7bbc8213b111ad3,https://etherscan.io/address/0x1502a39844a21d91904c8343c7bbc8213b111ad3#analytics,197,days,1281,days,0,1036.24,53.37358604135424,21860.22
0xdec00a8df45f9cf321636340921d3d9c91d23723,https://etherscan.io/address/0xdec00a8df45f9cf321636340921d3d9c91d23723#analytics,2,days,2177,days,1,42501.17,106.14902887548547,342206.83
0x05919a6edee137de23556180278e2e586453f7b2,https://etherscan.io/address/0x05919a6edee137de23556180278e2e586453f7b2#analytics,39,days,1267,days,0,151475589.00,28.089722780518958,12317.62
0x42d455b219214fda88af47786cc6e3b5f9a19c37,https://etherscan.io/address/0x42d455b219214fda88af47786cc6e3b5f9a19c37#analytics,5,days,2130,days,0,643.98,110.62838819403993,45139.7
0xf0cf5096d47ace96d3020f0695a991240f5dfd6c,https://etherscan.io/address/0xf0cf5096d47ace96d3020f0695a991240f5dfd6c#analytics,229,days,1605,days,0,128.50,36.448180936031775,13774.12
0xeb5e8925925042da3afd0e8062146db0b2d394a3,https://etherscan.io/address/0xeb5e8925925042da3afd0e8062146db0b2d394a3#analytics,20,days,3015,days,0,9.24,19.233681559404317,53391.93
0xdcf753715a75407d3931a131ef7948f65c051dd7,https://etherscan.io/address/0xdcf753715a75407d3931a131ef7948f65c051dd7#analytics,251,days,2358,days,0,39.73,37.706896379754205,6480.5
0x1a36d7bac3ca3424fe2a2672bc9b35cd7f40e7e6,https://etherscan.io/address/0x1a36d7bac3ca3424fe2a2672bc9b35cd7f40e7e6#analytics,147,days,2251,days,0,105.61,246.81024255437634,178594.36
0x2c0b174c7cbf66c67e32e81591fc63a4406c5713,https://etherscan.io/address/0x2c0b174c7cbf66c67e32e81591fc63a4406c5713#analytics,None,None,None,None,None,None,None,None
