coin,numHolders,link,sum
Smooth Love ... (SLP),251,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,281572446.68000007
JasmyCoin (JASMY),150,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,2069869.0
Metal (MTL),226,0xF433089366899D83a9f26A773D59ec7eCF30355e,40346042.30000001
DENT (DENT),1631,0x3597bfd533a99c9aa083587b074434e61eb0a258,2338579258.7799983
Frontier Tok... (FRONT),860,0xf8C3527CC04340b208C854E985240c02F7B7793f,220409003.85999918
yearn.financ... (YFI),299,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,26406795.810000032
Ocean Token (OCEAN),345,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,273852351.62999994
Keep3rV1 (KP3R),330,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,65519971.93999996
LQTY (LQTY),394,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,45115969.430000074
Synapse (SYN),50,0x0f2d719407fdbeff09d87557abb7232601fd9f29,975916.3299999996
IDEX Token (IDEX),263,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,10707085.989999995
Beam (BEAM),2089,0x62D0A8458eD7719FDAF978fe5929C6D342B0bFcE,7865851465.620013
Bella (BEL),1864,0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14,273760831.5799997
SSV Token (SSV),67,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,4168050.2099999986
DIAToken (DIA),1817,0x84cA8bc7997272c7CfB4D0Cd3D55cd942B3c9419,2624857251.270005
Maker (MKR),287,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,39744179.08000004
ZRX (ZRX),225,0xe41d2489571d322189246dafa5ebde1f4699f498,16450049.559999997
Livepeer Tok... (LPT),537,0x58b6a8a3302369daec383334672404ee733ab239,78476224.65999992
SONM (SNM),5,0x46d0dac0926fa16707042cadc23f1eb4141fe86b,3.2800000000000002
# altlayerla... (Claim ...),18,0x0f5e5586e8aecb4a54a879e007bf68407171882e,0.0
# apyeth.org (Visit ...),26,0x92De606e806838B3ed6F0506599E03FBD16e6497,0.0
